iter	TotalF1	MultiClass
304	0.570564811	1.003459233
305	0.5705677751	1.003365871
306	0.5706082491	1.003311542
307	0.570734909	1.003127302
308	0.5708410464	1.00286651
309	0.5710996792	1.002673797
310	0.5712355432	1.00263868
311	0.5711311401	1.002595584
312	0.5712207891	1.002474563
313	0.5712709315	1.002417425
314	0.5712441498	1.002203757
315	0.5715105499	1.001941871
316	0.5714683456	1.001890509
317	0.5717503095	1.001728087
318	0.5720128201	1.001610363
319	0.5719831668	1.001443376
320	0.5721540099	1.001228687
321	0.5721207452	1.001113763
322	0.5721654444	1.000966107
323	0.5722519541	1.000728909
324	0.5723991025	1.000626204
325	0.5726184574	1.000369115
326	0.5727593401	1.000146445
327	0.572760346	1.000079925
328	0.5728838511	0.9997727557
329	0.5731505536	0.9996241843
330	0.5730499475	0.9994878523
331	0.5729978739	0.9992646895
332	0.5730864048	0.9990907369
333	0.5729076209	0.9989727482
334	0.5729375066	0.9989091748
335	0.5730263271	0.9986352145
336	0.5730614836	0.9984801595
337	0.5731101108	0.9983892154
338	0.5732799316	0.9982470832
339	0.5733694827	0.9980706974
340	0.5736165167	0.9979121972
341	0.5736776733	0.9976359479
342	0.5735804865	0.9976011723
343	0.5737537216	0.9973636243
344	0.5738137711	0.997165295
345	0.5736030356	0.9969283019
346	0.5735821855	0.9968953525
347	0.5738735009	0.9966908982
348	0.5738924017	0.9965032795
349	0.5739690465	0.9964016333
350	0.5741999668	0.9961865476
351	0.5744399985	0.9959184448
352	0.574461813	0.9957926385
353	0.5745164363	0.9954646024
354	0.5746469914	0.9953191199
355	0.5748877992	0.9952237633
356	0.5748979394	0.9950235484
357	0.5749415455	0.994875251
358	0.5749680583	0.9948321433
359	0.5750154244	0.9947790383
360	0.5751321103	0.9945192178
361	0.5749999646	0.9942721907
362	0.5752028891	0.9940889076
363	0.5753409359	0.9939151352
364	0.5752278516	0.9938051141
365	0.5754273861	0.9936365208
366	0.5754508698	0.9935261964
367	0.5754126535	0.9934670843
368	0.575304645	0.9933246366
369	0.5754613486	0.9929507335
370	0.5755813823	0.9928694046
371	0.5756303167	0.9927251792
372	0.5757370968	0.9926819386
373	0.5757604769	0.9926211013
374	0.5756525933	0.9925538654
375	0.5757091257	0.9925085037
376	0.5757297723	0.9924514288
377	0.5756849281	0.9923118327
378	0.5758378976	0.9921761865
379	0.5758428218	0.9919867561
380	0.5761819361	0.9918016902
381	0.5760507673	0.9916643994
382	0.5763250859	0.9915660139
383	0.5763282177	0.9913033062
384	0.5764503545	0.9912719672
385	0.5763988092	0.9911790226
386	0.5764121955	0.9911568255
387	0.5765448959	0.9909524743
388	0.5766591838	0.9908157168
389	0.5767885829	0.9906363618
390	0.5769946312	0.9903684721
391	0.5771119686	0.9902395016
392	0.5770153227	0.9900648376
393	0.5770460646	0.9899418713
394	0.5770249998	0.9898769493
395	0.5771352397	0.9898253557
396	0.5772761862	0.989634077
397	0.5774108173	0.9894571939
398	0.577453501	0.9894282461
399	0.5773718694	0.9892321795
400	0.5774546792	0.9891088197
401	0.5774635855	0.9890972393
402	0.5775298557	0.9890137809
403	0.577557225	0.9889816621
404	0.5775939918	0.9887835125
405	0.5776543173	0.9886052581
406	0.5776544202	0.988504032
407	0.5777573762	0.9883907061
408	0.5778748903	0.9882987072
409	0.577769955	0.9881193678
410	0.5777776716	0.9880940213
411	0.5778879548	0.9880253528
412	0.5778816949	0.9878409317
413	0.5779016196	0.9877504753
414	0.5779706843	0.98766407
415	0.5779806667	0.9875821311
416	0.5780196021	0.9874453619
